id,provinsi_id,name,alamat
1,11,ACEH,1
2,12,SUMATERA UTARA,2
3,13,SUMATERA BARAT,3
4,14,RIAU,4
5,15,JAMBI,5
6,16,SUMATERA SELATAN,6
7,18,LAMPUNG,7
8,19,KEPULAUAN BANGKA BELITUNG,8
9,32,JAWA BARAT,9
10,33,JAWA TENGAH,10
11,34,DI YOGYAKARTA,11
12,35,JAWA TIMUR,12
13,36,BANTEN,13
14,52,NUSA TENGGARA BARAT,14
15,53,NUSA TENGGARA TIMUR,15
16,61,KALIMANTAN BARAT,16
17,62,KALIMANTAN TENGAH,17
18,63,KALIMANTAN SELATAN,18
19,64,KALIMANTAN TIMUR,19
20,71,SULAWESI UTARA,20
21,72,SULAWESI TENGAH,21
22,73,SULAWESI SELATAN,22
23,74,SULAWESI TENGGARA,23
24,75,GORONTALO,24
25,76,SULAWESI BARAT,25
26,81,MALUKU,26
27,82,MALUKU UTARA,27
28,91,PAPUA BARAT,28
29,94,PAPUA,29
